shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
S10008,45.545660,-73.912427,10001,0.000
S10008,45.545471,-73.911729,10002,0.058
S10008,45.545374,-73.911370,10003,0.088
S10008,45.545276,-73.911012,10004,0.118
S10008,45.545258,-73.910945,10005,0.124
S10008,45.545227,-73.910826,10006,0.134
S10008,45.545194,-73.910706,10007,0.144
S10008,45.545110,-73.910418,10008,0.168
S10008,45.545022,-73.910131,10009,0.193
S10008,45.544930,-73.909848,10010,0.217
S10008,45.544865,-73.909658,10011,0.234
S10008,45.544799,-73.909469,10012,0.250
S10008,45.544729,-73.909283,10013,0.267
S10008,45.544658,-73.909097,10014,0.283
S10008,45.544585,-73.908913,10015,0.300
S10008,45.544511,-73.908731,10016,0.316
S10008,45.544433,-73.908551,10017,0.333
S10008,45.544354,-73.908371,10018,0.349
S10008,45.544220,-73.908078,10019,0.377
S10008,45.544079,-73.907790,10020,0.404
S10008,45.543934,-73.907507,10021,0.431
S10008,45.543879,-73.907406,10022,0.441
S10008,45.543825,-73.907304,10023,0.451
S10008,45.542700,-73.905215,10024,0.657
S10008,45.542540,-73.904918,10025,0.686
S10008,45.542380,-73.904621,10026,0.715
S10008,45.542220,-73.904324,10027,0.744
S10008,45.542060,-73.904026,10028,0.774
S10008,45.541555,-73.903089,10029,0.866
S10008,45.541419,-73.902834,10030,0.891
S10008,45.541285,-73.902577,10031,0.916
S10008,45.541187,-73.902378,10032,0.935
S10008,45.541092,-73.902177,10033,0.954
S10008,45.541001,-73.901972,10034,0.973
S10008,45.540913,-73.901764,10035,0.992
S10008,45.540828,-73.901554,10036,1.011
S10008,45.540746,-73.901340,10037,1.030
S10008,45.540668,-73.901125,10038,1.049
S10008,45.540594,-73.900905,10039,1.068
S10008,45.540523,-73.900685,10040,1.087
S10008,45.540455,-73.900462,10041,1.105
S10008,45.540392,-73.900237,10042,1.125
S10008,45.540332,-73.900010,10043,1.143
S10008,45.540257,-73.899707,10044,1.169
S10008,45.540187,-73.899403,10045,1.194
S10008,45.540086,-73.898967,10046,1.230
S10008,45.539991,-73.898553,10047,1.264
S10008,45.539895,-73.898140,10048,1.298
S10008,45.539799,-73.897725,10049,1.332
S10008,45.539703,-73.897312,10050,1.366
S10008,45.539166,-73.894988,10051,1.557
S10008,45.538997,-73.894257,10052,1.617
S10008,45.538158,-73.890629,10053,1.915
S10008,45.537990,-73.889899,10054,1.975
S10008,45.537967,-73.889802,10055,1.983
S10008,45.537931,-73.889650,10056,1.996
S10008,45.537894,-73.889500,10057,2.008
S10008,45.537846,-73.889330,10058,2.022
S10008,45.537792,-73.889163,10059,2.037
S10008,45.537733,-73.888999,10060,2.051
S10008,45.537669,-73.888839,10061,2.066
S10008,45.537600,-73.888685,10062,2.080
S10008,45.537535,-73.888554,10063,2.092
S10008,45.537470,-73.888424,10064,2.105
S10008,45.537226,-73.887949,10065,2.151
S10008,45.537226,-73.887949,20001,2.151
S10008,45.536686,-73.886898,20002,2.252
S10008,45.536606,-73.886742,20003,2.268
S10008,45.536523,-73.886592,20004,2.282
S10008,45.536450,-73.886470,20005,2.295
S10008,45.536373,-73.886354,20006,2.307
S10008,45.536291,-73.886243,20007,2.320
S10008,45.536206,-73.886138,20008,2.332
S10008,45.536100,-73.886018,20009,2.347
S10008,45.535993,-73.885903,20010,2.362
S10008,45.535966,-73.885875,20011,2.366
S10008,45.535749,-73.885647,20012,2.396
S10008,45.535532,-73.885418,20013,2.426
S10008,45.534834,-73.884682,20014,2.522
S10008,45.534581,-73.884415,20015,2.558
S10008,45.534328,-73.884148,20016,2.592
S10008,45.533020,-73.882771,20017,2.773
S10008,45.532586,-73.882313,20018,2.833
S10008,45.532126,-73.881827,20019,2.897
S10008,45.531692,-73.881371,20020,2.957
S10008,45.531475,-73.881142,20021,2.987
S10008,45.531114,-73.880762,20022,3.037
S10008,45.530752,-73.880380,20023,3.087
S10008,45.530477,-73.880089,20024,3.125
S10008,45.530133,-73.879728,20025,3.172
S10008,45.529790,-73.879366,20026,3.220
S10008,45.528307,-73.877803,20027,3.425
S10008,45.528074,-73.877558,20028,3.457
S10008,45.527786,-73.877254,20029,3.497
S10008,45.527498,-73.876950,20030,3.537
S10008,45.527143,-73.876577,20031,3.586
S10008,45.526817,-73.876234,20032,3.631
S10008,45.526492,-73.875890,20033,3.676
S10008,45.526166,-73.875547,20034,3.721
S10008,45.525840,-73.875203,20035,3.766
S10008,45.525840,-73.875203,20036,3.766
S10008,45.525480,-73.874819,20037,3.816
S10008,45.525480,-73.874819,20038,3.816
S10008,45.525362,-73.874688,20039,3.833
S10008,45.525246,-73.874552,20040,3.850
S10008,45.525132,-73.874413,20041,3.866
S10008,45.525132,-73.874413,20042,3.866
S10008,45.525001,-73.874242,20043,3.886
S10008,45.524874,-73.874065,20044,3.906
S10008,45.524752,-73.873881,20045,3.925
S10008,45.524633,-73.873692,20046,3.945
S10008,45.524520,-73.873498,20047,3.965
S10008,45.524520,-73.873498,20048,3.965
S10008,45.524428,-73.873330,20049,3.982
S10008,45.524338,-73.873158,20050,3.998
S10008,45.524253,-73.872982,20051,4.015
S10008,45.524253,-73.872982,20052,4.015
S10008,45.524171,-73.872804,20053,4.032
S10008,45.524093,-73.872620,20054,4.048
S10008,45.524019,-73.872435,20055,4.065
S10008,45.524019,-73.872435,20056,4.065
S10008,45.523932,-73.872199,20057,4.086
S10008,45.523850,-73.871959,20058,4.107
S10008,45.523775,-73.871714,20059,4.128
S10008,45.523706,-73.871467,20060,4.148
S10008,45.523643,-73.871215,20061,4.169
S10008,45.523586,-73.870961,20062,4.190
S10008,45.523536,-73.870704,20063,4.211
S10008,45.523493,-73.870444,20064,4.232
S10008,45.523456,-73.870182,20065,4.253
S10008,45.523426,-73.869920,20066,4.273
S10008,45.523402,-73.869655,20067,4.294
S10008,45.523386,-73.869389,20068,4.315
S10008,45.523386,-73.869389,20069,4.315
S10008,45.523377,-73.869176,20070,4.332
S10008,45.523371,-73.868963,20071,4.348
S10008,45.523369,-73.868749,20072,4.365
S10008,45.523369,-73.868749,20073,4.365
S10008,45.523373,-73.868109,20074,4.415
S10008,45.523380,-73.867389,20075,4.471
S10008,45.523381,-73.867263,20076,4.481
S10008,45.523400,-73.865416,20077,4.625
S10008,45.523412,-73.864218,20078,4.719
S10008,45.523420,-73.863450,20079,4.779
S10008,45.523428,-73.862651,20080,4.841
S10008,45.523428,-73.862651,30001,4.841
S10008,45.523438,-73.861659,30002,4.919
S10008,45.523441,-73.861173,30003,4.957
S10008,45.523439,-73.860929,30004,4.976
S10008,45.523433,-73.860686,30005,4.995
S10008,45.523420,-73.860429,30006,5.015
S10008,45.523400,-73.860173,30007,5.035
S10008,45.523381,-73.859977,30008,5.051
S10008,45.523357,-73.859781,30009,5.066
S10008,45.523331,-73.859586,30010,5.082
S10008,45.523300,-73.859392,30011,5.097
S10008,45.523263,-73.859186,30012,5.114
S10008,45.523221,-73.858981,30013,5.131
S10008,45.523175,-73.858777,30014,5.147
S10008,45.523125,-73.858576,30015,5.164
S10008,45.523068,-73.858368,30016,5.181
S10008,45.523006,-73.858162,30017,5.199
S10008,45.522940,-73.857959,30018,5.216
S10008,45.522869,-73.857759,30019,5.234
S10008,45.522789,-73.857548,30020,5.253
S10008,45.522704,-73.857342,30021,5.271
S10008,45.522615,-73.857140,30022,5.290
S10008,45.522520,-73.856942,30023,5.309
S10008,45.522421,-73.856749,30024,5.327
S10008,45.522317,-73.856561,30025,5.346
S10008,45.522210,-73.856377,30026,5.365
S10008,45.522096,-73.856196,30027,5.384
S10008,45.521979,-73.856020,30028,5.403
S10008,45.521739,-73.855673,30029,5.441
S10008,45.521680,-73.855588,30030,5.450
S10008,45.521300,-73.855043,30031,5.510
S10008,45.521273,-73.855004,30032,5.514
S10008,45.521199,-73.854899,30033,5.526
S10008,45.521126,-73.854796,30034,5.537
S10008,45.520991,-73.854607,30035,5.558
S10008,45.520917,-73.854505,30036,5.570
S10008,45.520842,-73.854404,30037,5.581
S10008,45.520451,-73.853874,30038,5.641
S10008,45.520376,-73.853772,30039,5.653
S10008,45.520301,-73.853669,30040,5.664
S10008,45.520166,-73.853482,30041,5.685
S10008,45.520093,-73.853378,30042,5.697
S10008,45.520020,-73.853273,30043,5.708
S10008,45.519812,-73.852975,30044,5.741
S10008,45.519812,-73.852975,40001,5.741
S10008,45.519227,-73.852137,40002,5.833
S10008,45.518847,-73.851593,40003,5.893
S10008,45.518804,-73.851533,40004,5.900
S10008,45.518707,-73.851391,40005,5.915
S10008,45.518610,-73.851249,40006,5.931
S10008,45.518503,-73.851082,40007,5.949
S10008,45.518400,-73.850911,40008,5.966
S10008,45.518311,-73.850756,40009,5.982
S10008,45.518224,-73.850601,40010,5.997
S10008,45.518184,-73.850527,40011,6.005
S10008,45.517849,-73.849924,40012,6.065
S10008,45.517811,-73.849856,40013,6.071
S10008,45.517725,-73.849701,40014,6.087
S10008,45.517636,-73.849547,40015,6.102
S10008,45.517531,-73.849373,40016,6.120
S10008,45.517424,-73.849206,40017,6.138
S10008,45.517327,-73.849063,40018,6.154
S10008,45.517229,-73.848922,40019,6.169
S10008,45.515776,-73.846845,40020,6.398
S10008,45.515650,-73.846662,40021,6.418
S10008,45.515526,-73.846476,40022,6.438
S10008,45.515431,-73.846322,40023,6.454
S10008,45.515339,-73.846162,40024,6.470
S10008,45.515253,-73.845999,40025,6.486
S10008,45.515168,-73.845831,40026,6.502
S10008,45.515090,-73.845658,40027,6.518
S10008,45.515015,-73.845479,40028,6.535
S10008,45.514943,-73.845297,40029,6.551
S10008,45.514877,-73.845111,40030,6.567
S10008,45.514816,-73.844923,40031,6.583
S10008,45.514757,-73.844723,40032,6.600
S10008,45.514704,-73.844520,40033,6.617
S10008,45.514655,-73.844315,40034,6.634
S10008,45.514612,-73.844107,40035,6.651
S10008,45.514575,-73.843897,40036,6.668
S10008,45.514544,-73.843686,40037,6.685
S10008,45.514513,-73.843434,40038,6.705
S10008,45.514486,-73.843180,40039,6.725
S10008,45.514462,-73.842942,40040,6.744
S10008,45.514383,-73.842182,40041,6.804
S10008,45.513644,-73.835042,40042,7.367
S10008,45.513565,-73.834283,40043,7.428
S10008,45.513381,-73.832503,40044,7.568
S10008,45.513368,-73.832376,40045,7.578
S10008,45.513355,-73.832249,40046,7.588
S10008,45.513322,-73.831898,40047,7.616
S10008,45.513312,-73.831770,40048,7.626
S10008,45.513300,-73.831644,40049,7.636
S10008,45.513199,-73.830433,40050,7.731
S10008,45.513187,-73.830291,40051,7.742
S10008,45.513177,-73.830165,40052,7.752
S10008,45.513165,-73.830036,40053,7.762
S10008,45.513131,-73.829679,40054,7.791
S10008,45.513119,-73.829552,40055,7.801
S10008,45.513106,-73.829426,40056,7.811
S10008,45.513092,-73.829292,40057,7.821
S10008,45.512961,-73.828031,40058,7.921
S10008,45.512904,-73.827498,40059,7.963
S10008,45.512841,-73.826967,40060,8.005
S10008,45.512774,-73.826436,40061,8.047
S10008,45.512704,-73.825907,40062,8.089
S10008,45.512639,-73.825453,40063,8.125
S10008,45.512571,-73.824999,40064,8.162
S10008,45.512499,-73.824546,40065,8.198
S10008,45.512425,-73.824095,40066,8.234
S10008,45.512314,-73.823463,40067,8.285
S10008,45.512197,-73.822833,40068,8.336
S10008,45.512074,-73.822206,40069,8.387
S10008,45.511944,-73.821581,40070,8.438
S10008,45.511808,-73.820959,40071,8.489
S10008,45.511602,-73.820044,40072,8.564
S10008,45.511465,-73.819435,40073,8.614
S10008,45.511328,-73.818825,40074,8.664
S10008,45.511154,-73.818051,40075,8.727
S10008,45.511032,-73.817514,40076,8.771
S10008,45.510907,-73.816979,40077,8.815
S10008,45.510778,-73.816445,40078,8.859
S10008,45.510777,-73.816442,40079,8.860
S10008,45.510629,-73.815839,40080,8.909
S10008,45.510482,-73.815234,40081,8.959
S10008,45.510482,-73.815232,40082,8.960
S10008,45.510353,-73.814704,40083,9.003
S10008,45.510230,-73.814174,40084,9.047
S10008,45.510108,-73.813643,40085,9.090
S10008,45.509791,-73.812234,40086,9.206
S10008,45.509791,-73.812234,50001,9.206
S10008,45.508996,-73.808696,50002,9.496
S10008,45.508976,-73.808610,50003,9.503
S10008,45.508893,-73.808245,50004,9.533
S10008,45.508806,-73.807881,50005,9.563
S10008,45.508772,-73.807743,50006,9.575
S10008,45.508437,-73.806359,50007,9.689
S10008,45.508315,-73.805854,50008,9.731
S10008,45.508192,-73.805349,50009,9.773
S10008,45.508069,-73.804844,50010,9.814
S10008,45.507947,-73.804339,50011,9.856
S10008,45.507915,-73.804206,50012,9.867
S10008,45.507878,-73.804054,50013,9.879
S10008,45.507842,-73.803903,50014,9.892
S10008,45.507772,-73.803603,50015,9.917
S10008,45.507704,-73.803302,50016,9.941
S10008,45.507671,-73.803150,50017,9.954
